#	Isochrone	Z = 0.00000		Age = 	1.995e+06 yr
# log(age/yr)	M_ini   	M_act	logL/Lo	logTe	logG	Mbol 	u' 	g' 	r' 	i' 	z' 	Flum
	6.30	50.00000000	50.0000	5.6796	4.8740	4.8994	-9.429	-4.890	-4.376	-3.827	-3.438	-3.078	-0.00376753
	6.30	52.76745224	52.7675	5.7263	4.8756	4.8826	-9.546	-4.996	-4.481	-3.932	-3.543	-3.183	-0.00350326
	6.30	60.21142578	60.2114	5.8412	4.8782	4.8354	-9.833	-5.265	-4.751	-4.201	-3.812	-3.452	-0.00293157
	6.30	67.95222473	67.9522	5.9461	4.8791	4.7865	-10.095	-5.522	-5.007	-4.457	-4.068	-3.708	-0.00248995
	6.30	70.00000000	70.0000	5.9719	4.8790	4.7734	-10.160	-5.586	-5.072	-4.522	-4.133	-3.772	-0.00239213
	6.30	71.59101868	71.5910	5.9893	4.8787	4.7645	-10.203	-5.632	-5.117	-4.568	-4.178	-3.818	-0.00232064
	6.30	80.32044983	80.3204	6.0786	4.8760	4.7143	-10.426	-5.874	-5.359	-4.810	-4.421	-4.061	-0.00198679
	6.30	88.10193634	88.1019	6.1502	4.8724	4.6685	-10.605	-6.077	-5.563	-5.015	-4.626	-4.266	-0.00175362
	6.30	96.14102173	96.1410	6.2174	4.8676	4.6198	-10.774	-6.278	-5.765	-5.217	-4.829	-4.469	-0.00155862
	6.30	100.00000000	100.0000	6.2477	4.8649	4.5960	-10.849	-6.371	-5.859	-5.312	-4.923	-4.564	-0.00147797
	6.30	107.11977386	107.1198	6.2964	4.8597	4.5561	-10.971	-6.529	-6.018	-5.471	-5.083	-4.723	-0.00134692
	6.30	114.86350250	114.8635	6.3458	4.8536	4.5129	-11.094	-6.693	-6.183	-5.637	-5.249	-4.890	-0.00122580
	6.30	120.00000000	120.0000	6.3767	4.8486	4.4810	-11.172	-6.804	-6.295	-5.749	-5.363	-5.004	-0.00115550
	6.30	145.67398071	145.6518	6.4988	4.8217	4.3353	-11.477	-7.289	-6.785	-6.244	-5.860	-5.503	-0.00088941
	6.30	181.92105103	181.8581	6.6378	4.7730	4.0981	-11.824	-7.957	-7.465	-6.932	-6.551	-6.198	-0.00065891
	6.30	221.32310486	221.2044	6.7594	4.7048	3.7884	-12.128	-8.478	-8.014	-7.471	-7.094	-6.733	-0.00050569
	6.30	250.00000000	249.8339	6.8338	4.6394	3.5053	-12.315	-9.110	-8.668	-8.134	-7.759	-7.400	-0.00042899
	6.30	256.99920654	256.6074	6.8486	4.6226	3.4349	-12.352	-9.266	-8.831	-8.299	-7.925	-7.568	-0.00041329
	6.30	280.00488281	278.8223	6.8947	4.5430	3.1066	-12.467	-9.864	-9.473	-8.956	-8.586	-8.235	-0.00036812
	6.30	303.62890625	301.5634	6.9379	4.4357	2.6685	-12.575	-10.374	-10.110	-9.625	-9.269	-8.940	-0.00032999
	6.30	332.74777222	329.5106	6.9861	4.2279	1.8275	-12.695	-11.235	-11.310	-10.934	-10.638	-10.382	-0.00029162
	6.30	342.62768555	338.9763	7.0013	4.1219	1.4007	-12.733	-11.571	-11.909	-11.588	-11.326	-11.121	-0.00028032
	6.30	349.61077881	345.6613	7.0118	4.0402	1.0717	-12.760	-11.747	-12.355	-12.073	-11.837	-11.683	-0.00027279
	6.30	351.65390015	347.6163	7.0149	4.0247	1.0090	-12.767	-11.800	-12.427	-12.162	-11.935	-11.792	-0.00027065
	6.30	352.53060913	348.4550	7.0163	4.0195	0.9880	-12.771	-11.809	-12.454	-12.192	-11.967	-11.829	-0.00026974
	6.30	353.16812134	349.0649	7.0179	4.0256	1.0116	-12.775	-11.805	-12.430	-12.164	-11.937	-11.794	-0.00026909
	6.30	353.56558228	349.4452	7.0189	4.0292	1.0253	-12.777	-11.797	-12.418	-12.148	-11.919	-11.773	-0.00026868
	6.30	354.28854370	350.1367	7.0200	4.0186	0.9826	-12.780	-11.819	-12.467	-12.206	-11.981	-11.844	-0.00026794
	6.30	354.70935059	350.5393	7.0206	4.0099	0.9479	-12.781	-11.830	-12.509	-12.253	-12.031	-11.900	-0.00026751
	6.30	355.09689331	350.9099	7.0211	4.0014	0.9137	-12.783	-11.841	-12.549	-12.298	-12.079	-11.956	-0.00026711
	6.30	355.46780396	351.2647	7.0216	3.9929	0.8797	-12.784	-11.844	-12.590	-12.342	-12.125	-12.010	-0.00026674
	6.30	355.80520630	351.5874	7.0221	3.9848	0.8469	-12.785	-11.846	-12.629	-12.384	-12.170	-12.061	-0.00026640
	6.30	356.12597656	351.8942	7.0226	3.9766	0.8141	-12.786	-11.847	-12.668	-12.426	-12.214	-12.113	-0.00026607
	6.30	356.42440796	352.1796	7.0230	3.9684	0.7812	-12.787	-11.842	-12.705	-12.465	-12.256	-12.162	-0.00026577
	6.30	356.71176147	352.4544	7.0234	3.9602	0.7483	-12.788	-11.835	-12.740	-12.504	-12.297	-12.211	-0.00026548
	6.30	357.05566406	352.7833	7.0238	3.9495	0.7057	-12.790	-11.827	-12.786	-12.553	-12.351	-12.273	-0.00026514
	6.30	357.29824829	353.0153	7.0242	3.9417	0.6745	-12.790	-11.828	-12.806	-12.583	-12.386	-12.318	-0.00026490
	6.30	357.51837158	353.2258	7.0245	3.9339	0.6434	-12.791	-11.829	-12.827	-12.613	-12.421	-12.362	-0.00026468
	6.30	357.72723389	353.4255	7.0247	3.9262	0.6123	-12.792	-11.830	-12.847	-12.642	-12.456	-12.406	-0.00026447
